service_id,created_at,schedule_date,start_address_id,start_address_point,end_address_id,end_address_point,city_code,department_code,labor_id,labor_type,labor_name,labor_category,labor_sequence,alfred,shop,address_id,address_point,labor_created_at,labor_start_date,labor_end_date
399777,2026-02-05T10:33:40.722000-05:00,2026-02-19T07:00:00-05:00,188411,POINT (-75.5731243 6.184122800000001),117281,POINT (-75.56979539999999 6.2198631),1,5,503494,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-05T10:33:40.772000-05:00,,
400326,2026-02-06T08:22:37.135000-05:00,2026-02-19T11:00:00-05:00,130163,POINT (-75.56719989999999 6.188821),4852,POINT (-75.56991479999999 6.2276503),1,5,504072,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-06T08:22:37.205000-05:00,,
400357,2026-02-06T08:40:37.945000-05:00,2026-02-19T16:00:00-05:00,4852,POINT (-75.56991479999999 6.2276503),130163,POINT (-75.56719989999999 6.188821),1,5,504105,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-06T08:40:37.993000-05:00,,
402549,2026-02-08T16:19:30.730000-05:00,2026-02-21T12:00:00-05:00,166327,POINT (-76.4960699 3.4665607),166327,POINT (-76.4960699 3.4665607),1004,76,506329,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-08T16:19:30.775000-05:00,,
402549,2026-02-08T16:19:30.730000-05:00,2026-02-21T12:00:00-05:00,166327,POINT (-76.4960699 3.4665607),166327,POINT (-76.4960699 3.4665607),1004,76,506330,3,Wash and Polish,WASH_AND_POLISH,2,,4402.0,187121.0,POINT (-76.499544 3.441305),2026-02-08T16:19:30.821000-05:00,,
402549,2026-02-08T16:19:30.730000-05:00,2026-02-21T12:00:00-05:00,166327,POINT (-76.4960699 3.4665607),166327,POINT (-76.4960699 3.4665607),1004,76,506331,2,Alfred Transport,VEHICLE_TRANSPORTATION,3,,,,,2026-02-08T16:19:30.861000-05:00,,
402879,2026-02-09T09:45:16.262000-05:00,2026-02-26T07:00:00-05:00,96914,POINT (-75.5689336 6.214603899999999),4852,POINT (-75.56991479999999 6.2276503),1,5,506687,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-09T09:45:16.313000-05:00,,
402881,2026-02-09T09:45:43.890000-05:00,2026-02-26T12:30:00-05:00,4852,POINT (-75.56991479999999 6.2276503),96914,POINT (-75.5689336 6.214603899999999),1,5,506689,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-09T09:45:43.938000-05:00,,
403022,2026-02-09T11:34:38.728000-05:00,2026-02-23T13:30:00-05:00,186670,POINT (-74.0527477 4.6773473),120432,POINT (-74.02471419999999 4.7281137),149,25,506837,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-09T11:34:38.772000-05:00,,
403356,2026-02-09T15:32:23.151000-05:00,2026-02-19T07:00:00-05:00,189083,POINT (-74.0515964 4.6595701),17793,POINT (-74.05576889999999 4.712595600000001),149,25,507190,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-09T15:32:23.214000-05:00,,
403357,2026-02-09T15:33:10.953000-05:00,2026-02-19T12:30:00-05:00,17793,POINT (-74.05576889999999 4.712595600000001),189083,POINT (-74.0515964 4.6595701),149,25,507191,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-09T15:33:11.015000-05:00,,
